product_name,price,reviews,rating,image_link,product_link
"Samsung Galaxy S26, Unlocked Android Smartphone, 256GB, Cobalt Violet | Powerful Processor, Galaxy AI, Immersive Viewing, Durable Battery, 2026, US 1 Year Warranty",,319,"Options:
2 sizes",https://m.media-amazon.com/images/I/61pYc2tne0L._AC_UY218_.jpg,https://www.amazon.com/Samsung-Unlocked-Smartphone-Processor-Immersive/dp/B0G4SXD3TJ/ref=sr_1_1?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.isMteTd5L9Bm2gC3UK4jx4xFCA9fycDLRGEuaW-lYsOhtSeAiUD9cEv6AIOtBZeJ-XujNXehsxHJLRqOcDz8DgiFQwYFACMzc6xDUI10r6yC_JK63s8CEINoTZFjtu3kY-UMkfOoPQ1yjH8Ca3a5oZxyiRrzOc2byQRY2cDzQGyfWR7FV7t7hzYoPeypQwEKff8o_RDJYqYmAj9PU7fXaYhu4mrNyWe1i-lPgWIhr9M.lIz3A7ZrWbV16_KFG4EGk6y8uNhn8J--dEPq2YBAyo0&dib_tag=se&keywords=mobile+phones&qid=1784914267&sprefix=mobile%2Caps%2C435&sr=8-1
"Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)",nan,12.8K,Best Seller,https://m.media-amazon.com/images/I/61WUSYIQdKL._AC_UY218_.jpg,https://www.amazon.com/Apple-iPhone-14-128GB-Midnight/dp/B0BN72FYFG/ref=sr_1_2?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.isMteTd5L9Bm2gC3UK4jx4xFCA9fycDLRGEuaW-lYsOhtSeAiUD9cEv6AIOtBZeJ-XujNXehsxHJLRqOcDz8DgiFQwYFACMzc6xDUI10r6yC_JK63s8CEINoTZFjtu3kY-UMkfOoPQ1yjH8Ca3a5oZxyiRrzOc2byQRY2cDzQGyfWR7FV7t7hzYoPeypQwEKff8o_RDJYqYmAj9PU7fXaYhu4mrNyWe1i-lPgWIhr9M.lIz3A7ZrWbV16_KFG4EGk6y8uNhn8J--dEPq2YBAyo0&dib_tag=se&keywords=mobile+phones&qid=1784914267&sprefix=mobile%2Caps%2C435&sr=8-2
"Samsung Galaxy A17 5G Smart Phone 128GB US 1 Yr Manufacturer Warranty Black | Large AMOLED, High-Res Camera, Durable Design, Super Fast Charging, Expandable Storage, Circle to Search, 2025",,1.4K,4.1,https://m.media-amazon.com/images/I/71Ss7HzbhUL._AC_UY218_.jpg,https://www.amazon.com/Samsung-High-Res-Charging-Expandable-Manufacturer/dp/B0FXY18C1J/ref=sr_1_3?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.isMteTd5L9Bm2gC3UK4jx4xFCA9fycDLRGEuaW-lYsOhtSeAiUD9cEv6AIOtBZeJ-XujNXehsxHJLRqOcDz8DgiFQwYFACMzc6xDUI10r6yC_JK63s8CEINoTZFjtu3kY-UMkfOoPQ1yjH8Ca3a5oZxyiRrzOc2byQRY2cDzQGyfWR7FV7t7hzYoPeypQwEKff8o_RDJYqYmAj9PU7fXaYhu4mrNyWe1i-lPgWIhr9M.lIz3A7ZrWbV16_KFG4EGk6y8uNhn8J--dEPq2YBAyo0&dib_tag=se&keywords=mobile+phones&qid=1784914267&sprefix=mobile%2Caps%2C435&sr=8-3
Motorola Moto G Play LTE | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,,1.8K,4.2,https://m.media-amazon.com/images/I/61xk4XNRktL._AC_UY218_.jpg,https://www.amazon.com/Moto-Play-Unlocked-Camera-Sapphire/dp/B0CP6DDN1H/ref=sr_1_4?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.isMteTd5L9Bm2gC3UK4jx4xFCA9fycDLRGEuaW-lYsOhtSeAiUD9cEv6AIOtBZeJ-XujNXehsxHJLRqOcDz8DgiFQwYFACMzc6xDUI10r6yC_JK63s8CEINoTZFjtu3kY-UMkfOoPQ1yjH8Ca3a5oZxyiRrzOc2byQRY2cDzQGyfWR7FV7t7hzYoPeypQwEKff8o_RDJYqYmAj9PU7fXaYhu4mrNyWe1i-lPgWIhr9M.lIz3A7ZrWbV16_KFG4EGk6y8uNhn8J--dEPq2YBAyo0&dib_tag=se&keywords=mobile+phones&qid=1784914267&sprefix=mobile%2Caps%2C435&sr=8-4
"Samsung Galaxy A17 5G Smart Phone 128GB, US 1 Yr Manufacturer Warranty Blue | Large AMOLED, High-Res Camera, Durable Design, Super Fast Charging, Expandable Storage, Circle to Search, 2025",,1.4K,4.1,https://m.media-amazon.com/images/I/710u7UnAyWL._AC_UY218_.jpg,https://www.amazon.com/Samsung-High-Res-Charging-Expandable-Manufacturer/dp/B0FXY1DZ78/ref=sr_1_5?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.isMteTd5L9Bm2gC3UK4jx4xFCA9fycDLRGEuaW-lYsOhtSeAiUD9cEv6AIOtBZeJ-XujNXehsxHJLRqOcDz8DgiFQwYFACMzc6xDUI10r6yC_JK63s8CEINoTZFjtu3kY-UMkfOoPQ1yjH8Ca3a5oZxyiRrzOc2byQRY2cDzQGyfWR7FV7t7hzYoPeypQwEKff8o_RDJYqYmAj9PU7fXaYhu4mrNyWe1i-lPgWIhr9M.lIz3A7ZrWbV16_KFG4EGk6y8uNhn8J--dEPq2YBAyo0&dib_tag=se&keywords=mobile+phones&qid=1784914267&sprefix=mobile%2Caps%2C435&sr=8-5
"Samsung Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked, 6.7"", Dual SIM, 50MP Triple Camera (Case Bundle), Black",,5.1K,4.4,https://m.media-amazon.com/images/I/61Lp1UcxeLL._AC_UY218_.jpg,https://www.amazon.com/Samsung-International-SM-A165F-Factory-Unlocked/dp/B0DM1S54MZ/ref=sr_1_6?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.isMteTd5L9Bm2gC3UK4jx4xFCA9fycDLRGEuaW-lYsOhtSeAiUD9cEv6AIOtBZeJ-XujNXehsxHJLRqOcDz8DgiFQwYFACMzc6xDUI10r6yC_JK63s8CEINoTZFjtu3kY-UMkfOoPQ1yjH8Ca3a5oZxyiRrzOc2byQRY2cDzQGyfWR7FV7t7hzYoPeypQwEKff8o_RDJYqYmAj9PU7fXaYhu4mrNyWe1i-lPgWIhr9M.lIz3A7ZrWbV16_KFG4EGk6y8uNhn8J--dEPq2YBAyo0&dib_tag=se&keywords=mobile+phones&qid=1784914267&sprefix=mobile%2Caps%2C435&sr=8-6
"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)",,27.4K,"Options:
3 sizes",https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY218_.jpg,https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_7?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.isMteTd5L9Bm2gC3UK4jx4xFCA9fycDLRGEuaW-lYsOhtSeAiUD9cEv6AIOtBZeJ-XujNXehsxHJLRqOcDz8DgiFQwYFACMzc6xDUI10r6yC_JK63s8CEINoTZFjtu3kY-UMkfOoPQ1yjH8Ca3a5oZxyiRrzOc2byQRY2cDzQGyfWR7FV7t7hzYoPeypQwEKff8o_RDJYqYmAj9PU7fXaYhu4mrNyWe1i-lPgWIhr9M.lIz3A7ZrWbV16_KFG4EGk6y8uNhn8J--dEPq2YBAyo0&dib_tag=se&keywords=mobile+phones&qid=1784914267&sprefix=mobile%2Caps%2C435&sr=8-7
Motorola Moto G Power - 2025 | Unlocked | Made for US 8/128GB | 50MP Camera | Slate Gray,,3.5K,4.3,https://m.media-amazon.com/images/I/81wWRI0DmjL._AC_UY218_.jpg,https://www.amazon.com/Motorola-Moto-Power-Unlocked-Camera/dp/B0DP5FW9QQ/ref=sr_1_8?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.isMteTd5L9Bm2gC3UK4jx4xFCA9fycDLRGEuaW-lYsOhtSeAiUD9cEv6AIOtBZeJ-XujNXehsxHJLRqOcDz8DgiFQwYFACMzc6xDUI10r6yC_JK63s8CEINoTZFjtu3kY-UMkfOoPQ1yjH8Ca3a5oZxyiRrzOc2byQRY2cDzQGyfWR7FV7t7hzYoPeypQwEKff8o_RDJYqYmAj9PU7fXaYhu4mrNyWe1i-lPgWIhr9M.lIz3A7ZrWbV16_KFG4EGk6y8uNhn8J--dEPq2YBAyo0&dib_tag=se&keywords=mobile+phones&qid=1784914267&sprefix=mobile%2Caps%2C435&sr=8-8
"Samsung Galaxy A37 5G (2026), Unlocked Android Smartphone, 128GB, AMOLED Display, Triple Camera, IP68, Slim Phone, 5000mAh Battery, US Version, US 1 Yr Warranty, Awesome Charcoal",,223,"Options:
2 sizes",https://m.media-amazon.com/images/I/5172k5P8aOL._AC_UY218_.jpg,https://www.amazon.com/Samsung-A37-Unlocked-Smartphone-Warranty/dp/B0GMKXW3XL/ref=sr_1_9?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.isMteTd5L9Bm2gC3UK4jx4xFCA9fycDLRGEuaW-lYsOhtSeAiUD9cEv6AIOtBZeJ-XujNXehsxHJLRqOcDz8DgiFQwYFACMzc6xDUI10r6yC_JK63s8CEINoTZFjtu3kY-UMkfOoPQ1yjH8Ca3a5oZxyiRrzOc2byQRY2cDzQGyfWR7FV7t7hzYoPeypQwEKff8o_RDJYqYmAj9PU7fXaYhu4mrNyWe1i-lPgWIhr9M.lIz3A7ZrWbV16_KFG4EGk6y8uNhn8J--dEPq2YBAyo0&dib_tag=se&keywords=mobile+phones&qid=1784914267&sprefix=mobile%2Caps%2C435&sr=8-9
"Samsung Galaxy A17 5G Smart Phone 128GB, US 1 Yr Manufacturer Warranty Gray | Large AMOLED, High-Res Camera, Durable Design, Super Fast Charging, Expandable Storage, Circle to Search, 2025",,1.4K,4.1,https://m.media-amazon.com/images/I/61n9YE0kF3L._AC_UY218_.jpg,https://www.amazon.com/Samsung-High-Res-Charging-Expandable-Manufacturer/dp/B0G1V36T98/ref=sr_1_10?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.isMteTd5L9Bm2gC3UK4jx4xFCA9fycDLRGEuaW-lYsOhtSeAiUD9cEv6AIOtBZeJ-XujNXehsxHJLRqOcDz8DgiFQwYFACMzc6xDUI10r6yC_JK63s8CEINoTZFjtu3kY-UMkfOoPQ1yjH8Ca3a5oZxyiRrzOc2byQRY2cDzQGyfWR7FV7t7hzYoPeypQwEKff8o_RDJYqYmAj9PU7fXaYhu4mrNyWe1i-lPgWIhr9M.lIz3A7ZrWbV16_KFG4EGk6y8uNhn8J--dEPq2YBAyo0&dib_tag=se&keywords=mobile+phones&qid=1784914267&sprefix=mobile%2Caps%2C435&sr=8-10
