Title,Image,Price,Reviews
"Amazon Smart Air Quality Monitor – Know your air, Works with Alexa",./Smart Home Devices & Systems_files/31qfZxwlglL._AC_.jpg,$69.99,4.2
"Amazon Smart Plug, Works with Alexa, Simple Setup, Endless Possibilities (2-Pack)",./Smart Home Devices & Systems_files/317fht-xkzL._AC_.jpg,$39.98,4.7
"Shark Matrix Clean | Robot Vacuum Cleaner with Powerful Suction for Pet Hair, Rugs, Carpets & Hard Floors | Self-Empty Base | 60-Day Capacity | Voice Control | LiDAR Navigation | White | AV2511AE​",./Smart Home Devices & Systems_files/41YeqxZBtQL._AC_.jpg,$546.09,4.0
"Amazon Echo Hub (newest model), 8"", Redesigned with customizable control and Alexa+, Compatible with thousands of devices",./Smart Home Devices & Systems_files/31I9FCE-O6L._AC_.jpg,$179.99,4.0
"Amazon Echo Glow (newest model), Nightlight for kids, Works with Alexa (2-pack)",./Smart Home Devices & Systems_files/21dod2nS87L._AC_.jpg,$47.98,4.5
"iRobot Roomba Plus 405 (G181) 2in1 Vacuum & Mop Robot with AutoWash Dock - Dual Spinning, Smart & Fast Mapping, Ideal for Pet Hair, Self-Empties 75 Days, Intense Suction, Pad Washing & Drying",./Smart Home Devices & Systems_files/41ls+Hyby5L._AC_.jpg,$498.00,4.0
Lighting,./Smart Home Devices & Systems_files/Amazon_basics_image.png,,
Smart Locks and Entry,./Smart Home Devices & Systems_files/Moen.440x400.MyQ.EN.jpg,,
Smart Security Cameras and Systems,./Smart Home Devices & Systems_files/Category_tile_TV_400x400_Climate_control_EN.1.jpg,,
Smart Plugs and Outlets,./Smart Home Devices & Systems_files/Enbrighten_EN_400x400_V2.jpg,,
New Smart Devices,./Smart Home Devices & Systems_files/Category_tile_TV_400x400_rework_EN.jpg,,
Climate Control,./Smart Home Devices & Systems_files/66525_Amazon_categorytile_ClimateControl_400x400_superside_EN_1.png,,
Smart Detectors and Sensors,./Smart Home Devices & Systems_files/Moen_ct_400x400_En2.jpg,,
Home Entertainment,./Smart Home Devices & Systems_files/he_400x400.jpg,,
Smart Pet,./Smart Home Devices & Systems_files/pet-en-400.jpg,,
Voice Assistants and Hubs,./Smart Home Devices & Systems_files/DBS-879-SH-US-EN-LP-tile_440x440.jpg.1.jpg,,
Smart Kitchen,./Smart Home Devices & Systems_files/Category_tile_TV_400x400_Kitchen_EN.jpg,,
Vacuum & Mops,./Smart Home Devices & Systems_files/vac-en-400.jpg,,
Smart Lawn and Garden,./Smart Home Devices & Systems_files/XCM_Manual_1263220_us_homeimprov_smarthome_storefront_400x400-10_f584e116-99e8-45e6-826e-dad464c56dfc.jpg,,
Wifi and Networking,./Smart Home Devices & Systems_files/Untitled-5-400x400.jpg,,
Other Solutions,./Smart Home Devices & Systems_files/Category_tile_TV_400x400_Other_Solutions_EN.jpg,,
Vevor,./Smart Home Devices & Systems_files/Vevor_logo.png,,
Kwikset,./Smart Home Devices & Systems_files/Kwikset_logo.png,,
Chamberlain,./Smart Home Devices & Systems_files/Chamberlain_logo.png,,
Honeywell,./Smart Home Devices & Systems_files/Honeywell_Logo.png,,
SimpliSafe,./Smart Home Devices & Systems_files/SimpliSafe_Logo.png,,
