Title,Image,Price,Discount,Origin
"Vivo Y17s - 6.56 Inches HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM (128GB USABLE + 128GB SYSTEM RESERVED) - Phone Only, Color Mix",./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/0cce8e78c5572ee0c45f173259914f26.jpg_400x400q75.avif,"Rs. 23,999",20% Off,Sindh
Kyocera Basio 4 - 5.6 Inches AMOLED Display - 3GB RAM + 32GB ROM - Single Sim PTA Approved - Android 10 (12 Upgradable) - Japanese Phone - Phone with Charger (No box - Color Mix),./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/3f6bcb746aa0d7e38213dd85241011f4.jpg_400x400q75.avif,"Rs. 13,499",33% Off,Sindh
Rugged phone/unbreakable waterproof Smartphone | 4G n side finger unlock|  | Shockproof | Long Battery Life | Android Mobile Phone,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/S51bc01b6a92a41e5b1bb69752f31fe6aZ.jpg_400x400q75.avif,"Rs. 8,500",Coins save Rs. 425,Sindh
"Vivo Y17s - 6.56 Inches HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM (128GB USABLE + 128GB SYSTEM RESERVED) - Phone Only with Compaitable Charger, Color Mix",./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/dd4bc0e26b922681f74075178d1d5a22.png_400x400q75.avif,"Rs. 23,700",21% Off,Sindh
Vivo Y19s | 6GB+128GB | 90Hz Screen | 5500mAh Long Battery | Android 14 | PTA Approved,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/S56264ff1ea5f413abe0d311c259554fci.jpg_400x400q75.avif,"Rs. 23,799",47% Off,7 sold
Nothing Phone CMF Phone 2 Pro 8/128GB - PTA Approved - Nothing Phone,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/9361991e4ab8e87065f70e9b6c12cd5a.jpg_400x400q75.avif,"Rs. 104,999","Coins save Rs. 3,150",Punjab
"Vivo Y20s | 8GB Ram 128GB Storage | 5000 MAH Battery + 18w Fast Charging | PTA Approve | Side FingerPrint | 6.51"" HD+ Halo Big Display | 13MP AI Triple Camera | Phone, Box, Charger | Mobile Phone On Installment",./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/S46ab56292081412bb78dfda3ebbb34e22.jpg_400x400q75.avif,"Rs. 20,500",49% Off,(1)
Vivo Y66 | 100% Inspected Fresh Stock | 4GB RAM 64GB ROM(3/32 for user) | 13MP Camera | Dual Sim Approved | With Box & Charger | Premium Quality | Vivo Mobile Phone | Globally Customized,./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/See7a045a0c1f4913b00b10ed8c31d8965.jpg_400x400q75.avif,"Rs. 8,549",43% Off,28 sold
Vivo Y19s - 6.74 Inches IPS LCD Display - 8+1GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - (Phone and Universal Box. No Charger and No Accessories Included - Mix Color),./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/54334ee4cd880d9c6b87cf6f37239d96.jpg_400x400q75.avif,"Rs. 29,999",50% Off,Sindh
"Vivo Y66 | Dual Sim | PTA Approve | 4GB Ram 64GB Storage | Long Lasting 3000 MAH Battery | Memory Card Suppirt | Vivo Box , Charger Sim Injector Tool & Phone | Vivo Mobile | Mobile Phone On Easy Installment | Whatsapp , Youtube Facebook & Tiktok Working",./Buy Smart Phones Online at Best Price in Pakistan - Daraz.pk_files/S386696c696d343c3a0941b2389a8b361V.jpg_400x400q75.avif,"Rs. 9,480",57% Off,44 sold
