Title,Price,Image,Status,Company
65W PD Fast Wall Charger+Type-C Cable For Samsung Galaxy S23 S22 S21 S20 Ultra,$1.49,https://i.ebayimg.com/images/g/GGIAAeSwTzRov9zf/s-l1600.webp,Brand New,Brand New
Apple iPhone 12 64/128GB - Fully Unlocked AT&T T-Mobile Verizon - All colors,$144.00 to $234.00,https://i.ebayimg.com/images/g/fe4AAOSwVkRmIHzv/s-l1600.webp,Pre-Owned,Apple
"✅ NEW! Motorola RAZR 2025 5G (XT2553) 256GB GSM 🔓 UNLOCKED 6.9"" 50MP",$419.00,https://i.ebayimg.com/images/g/ZdIAAOSwSDRoXGOB/s-l1600.webp,Open Box,Motorola
Apple iPhone 8 64GB/128GB/256GB All Colors Unlocked Verizon Tmobile Att,$74.00 to $118.00,https://i.ebayimg.com/images/g/0qEAAOSwf~BmGWMk/s-l1600.webp,Pre-Owned,Apple
⚡ 65W Super PD Power Adapter Duo Wall Charger+Cable For Samsung Xiaomi Android,$1.25,https://i.ebayimg.com/images/g/8oAAAeSwb8lov9ez/s-l640.webp,Brand New,Brand New
NEW Samsung Galaxy S22 Ultra 5G SM-S908U 128GB/256GB/512GB Factory Unlocked,$267.01 to $348.01,https://i.ebayimg.com/images/g/BssAAeSwcg5p1dR3/s-l640.webp,Brand New,Samsung
45W Super Fast Charging USB Type C Wall Charger Cable✅Fit Samsung Galaxy S23 S22,$1.99,https://i.ebayimg.com/images/g/2LYAAOSwGeFmB6uO/s-l640.webp,Brand New,Unbranded
Samsung Galaxy S23+ 256GB S916U Unlocked - Good,$257.99,https://i.ebayimg.com/images/g/uVkAAeSwBgRoL8gl/s-l1600.webp,Good - Refurbished,Samsung
Samsung Galaxy S22 128GB S901U Unlocked - Good,$142.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Good - Refurbished,Samsung
NEW SEALED Samsung Galaxy S23 Ultra 5G SM-S918U 256GB/512GB Factory Unlocked,$399.66 to $449.66,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Samsung
Samsung Galaxy S23 128GB - 5G SM-S911U1 - FACTORY UNLOCKED - EXCELLENT,$224.48 to $250.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Excellent - Refurbished,Samsung
Samsung Galaxy S23 Ultra 512GB S918U Unlocked - Good,$390.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Good - Refurbished,Samsung
Samsung Galaxy S25 Ultra 512GB S938U Unlocked - Excellent,$734.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Excellent - Refurbished,Samsung
Apple iPhone 12 64/128/256GB - Fully Unlocked - All colors - Used Condition,$159.99 to $194.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,Apple
Samsung Galaxy S21 FE 5G 128GB Fully Unlocked - Used Very Good- All colors,$154.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,Samsung
Apple iPhone 5C Unlocked New Battery 8/16/32GB BLUE/GREEN/PINK/WHITE/ YELLOW,$26.99 to $45.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,Apple
Samsung Galaxy Z Fold6 512GB/1TB F956U Unlocked - Dead Pixel,$434.00 to $469.00,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,Samsung
Samsung Galaxy Z Flip5 512GB F731U Unlocked - Good,$238.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Good - Refurbished,Samsung
"🔥New Samsung Galaxy S23 Ultra 5G SM-S918U 256GB/ 512GB/1T 6.8"" Factory Unlocked",$393.01 to $478.01,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Samsung
45W PD Super Fast Wall Charger+Type-C Cable For Samsung Galaxy S23 S22 S21 S20,$1.25,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Brand New
Samsung Galaxy S21 5G 128GB G991U Unlocked - Good,$128.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Good - Refurbished,Samsung
Apple iPhone 13 MINI A2481 128/256/512 Factory Unlocked New in Sealed Box Phones,$317.01 to $330.01,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Apple
NEW Samsung Galaxy S24+ Plus 5G SM-S926U 256/512GB Factory Unlocked All Carriers,$466.88,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Samsung
OnePlus 15 Infinite Black 12GB+256GB US Unlock Excellent w 95%+ Battery Health,$699.00,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,OnePlus
Apple iPhone 14 128GB Midnight A2649 MPUA3LL/A Unlocked Clean ESN Good (AMX),$249.95,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Good - Refurbished,Apple
Apple iPhone 5s 16/32/64GB Gray/Silver/Gold Factory UNLOCKED Any carrier,$34.99 to $65.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,Apple
Samsung Galaxy S25 Ultra 512GB S938U Unlocked - Open Box,$749.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Open Box,Samsung
45w Type USB-C Super Fast Wall Charger +6FT Cable For Samsung Galaxy S20~24 Note,$1.52,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Unbranded
"Apple iPhone 13, 128/256/512GB - Fully Unlocked - Used - All colors",$249.99 to $299.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,Apple
"Apple iPhone 13 Mini, 128/256/512GB - Unlocked - Used Very Good - All colors",$239.99 to $419.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,Apple
"Apple iPhone 14, 128GB-256GB-512GB, Unlocked - Used All Colors",$264.99 to $309.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,Apple
"Apple iPhone 12, 64/128/256GB - Unlocked - Used Very Good - All colors",$194.99 to $244.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,Apple
NEW SEALED SAMSUNG GALAXY S23 ULTRA 5G/S22 ULTRA 5G GSM CDMA FACTORY UNLOCKED,$235.01 to $795.01,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Samsung
Samsung Galaxy S22+ 128GB S906U Unlocked - Good,$161.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Good - Refurbished,Samsung
Samsung Galaxy S22 Ultra 128GB S908U Unlocked - Good,$266.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Good - Refurbished,Samsung
Apple iPhone 15 128GB Unlocked - Good,$380.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Good - Refurbished,Apple
Apple iPhone 12 64GB 128GB 256GB Unlocked Smartphone - Good,$174.99 to $219.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Good - Refurbished,Apple
NEW SEALED Samsung Galaxy S23 Ultra 5G SM-S918U 256GB/512GB Factory Unlocked,$394.98 to $439.98,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Samsung
NEW Apple iPhone SE 2022 5G 3rd Gen 100% 🔋 Battery Factory 🔓 64GB/128GB/256GB,$229.00 to $429.00,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Open Box,Apple
Apple iPhone 16 128GB Unlocked Very Good Condition,$551.00,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Very Good - Refurbished,Apple
Motorola Moto Razr+ Plus 2025 XT2557-3 256GB Unlocked(Excellent Condition),$319.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,Motorola
Apple iPhone 13 128GB Fully Unlocked - Very Good Condition,$259.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Very Good - Refurbished,Apple
OnePlus 15 Infinite Black 12GB+256GB US Unlock 95%+ Battery Health,$629.00,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,OnePlus
65W Type USB C Super Fast Wall Charger+3ft Cable For Samsung Galaxy S22 S21 S23,$1.90,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Brand New
Apple iPhone 5C Unlocked New Battery 8/16/32GB BLUE/PINK/WHITE/ YELLOW #BestJ,$26.00 to $55.00,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Pre-Owned,Apple
Samsung Galaxy S25 FE 128GB Jetblack SM-S731U (T-Mobile) EXCELLENT,$284.23,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Excellent - Refurbished,Samsung
NEW SEALED Samsung Galaxy Note 20 Ultra 5G 12+128GB Factory Unlocked Smartphone,$252.42,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Samsung
Motorola Moto Edge 2025 - 256GB (Cricket) - BRAND NEW SEALED,$124.45,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Motorola
Samsung Galaxy S22 Ultra 5G SM-S908U 128GB 256GB 512GB Factory Unlocked ✨New✨,$344.99,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Samsung
Samsung Galaxy A16 5G SM-A166U1 4GB 128GB Fully Unlocked New Sealed Smartphone,$137.90,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,Brand New,Samsung
